GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,ImageServiceImpl,4,777,2,16,0,178,2,30,0,23
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,EquipmentServiceImpl,8,956,2,12,0,202,2,40,0,35
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,ExamItemServiceImpl,503,0,12,0,104,0,27,0,21,0
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,ReportServiceImpl,5,799,7,29,0,165,7,39,0,28
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,StatisticsServiceImpl,635,0,32,0,119,0,35,0,19,0
HIS影像管理模块,com.yhj.his.module.pacs.service.impl,ExamRequestServiceImpl,47,1023,22,23,10,229,21,31,0,26
HIS影像管理模块,com.yhj.his.module.pacs.enums,ExamType,68,0,0,0,13,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.enums,VisitType,52,0,0,0,11,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.enums,EquipmentStatus,52,0,0,0,11,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.enums,RequestStatus,76,0,0,0,14,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.enums,ReportStatus,68,0,0,0,13,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.enums,ExamRecordStatus,52,0,0,0,11,0,4,0,4,0
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamRequest,1100,234,264,0,1,35,136,65,4,65
HIS影像管理模块,com.yhj.his.module.pacs.entity,RoomSchedule,636,144,152,0,1,23,80,37,4,37
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamRecord,924,172,216,0,1,30,118,47,10,47
HIS影像管理模块,com.yhj.his.module.pacs.entity,EquipmentInfo,633,136,152,0,1,21,80,37,4,37
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamItem,634,68,136,0,7,16,91,14,23,14
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamImage,606,122,144,0,1,19,77,34,5,34
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamReport,900,192,216,0,1,29,112,53,4,53
HIS影像管理模块,com.yhj.his.module.pacs.entity,ExamSeries,617,114,144,0,1,19,79,32,7,32
HIS影像管理模块,com.yhj.his.module.pacs,PacsModuleApplication,27,0,0,0,10,0,2,0,2,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ExamReportController,130,0,0,0,32,0,17,0,17,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,EquipmentController,189,0,0,0,43,0,22,0,22,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ReportController,138,0,2,0,31,0,17,0,16,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,StatisticsController,111,0,0,0,30,0,12,0,12,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ExamRequestController,100,0,0,0,23,0,12,0,12,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ExamItemController,108,0,0,0,25,0,13,0,13,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ExamRecordController,102,0,0,0,25,0,13,0,13,0
HIS影像管理模块,com.yhj.his.module.pacs.controller,ImageController,98,0,0,0,23,0,12,0,12,0
HIS影像管理模块,com.yhj.his.module.pacs.config,PacsModuleConfig,3,0,0,0,1,0,1,0,1,0
HIS影像管理模块,com.yhj.his.module.pacs.vo,ExamItemVO,756,0,150,0,19,0,116,0,41,0
