GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HIS系统管理模块,com.yhj.his.module.system,SystemModuleApplication,27,0,0,0,10,0,2,0,2,0
HIS系统管理模块,com.yhj.his.module.system.enums,PermissionType,5,72,1,3,2,10,2,5,1,4
HIS系统管理模块,com.yhj.his.module.system.enums,UserStatus,0,69,0,4,0,11,0,7,0,5
HIS系统管理模块,com.yhj.his.module.system.enums,DataScopeLevel,5,64,1,3,2,9,2,5,1,4
HIS系统管理模块,com.yhj.his.module.system.enums,AuditType,31,54,4,0,6,7,5,2,3,2
HIS系统管理模块,com.yhj.his.module.system.enums,LoginType,85,0,4,0,13,0,7,0,5,0
HIS系统管理模块,com.yhj.his.module.system.enums,AuditLevel,31,38,4,0,6,5,5,2,3,2
HIS系统管理模块,com.yhj.his.module.system.enums,OperationResult,61,0,4,0,10,0,7,0,5,0
HIS系统管理模块,com.yhj.his.module.system.controller,OperationLogController,21,0,0,0,4,0,4,0,4,0
HIS系统管理模块,com.yhj.his.module.system.controller,RoleController,54,0,0,0,10,0,10,0,10,0
HIS系统管理模块,com.yhj.his.module.system.controller,DepartmentController,55,0,0,0,10,0,10,0,10,0
HIS系统管理模块,com.yhj.his.module.system.controller,PermissionController,54,0,0,0,10,0,10,0,10,0
HIS系统管理模块,com.yhj.his.module.system.controller,UserController,116,0,12,0,21,0,21,0,15,0
HIS系统管理模块,com.yhj.his.module.system.controller,AuditLogController,30,0,0,0,6,0,6,0,6,0
HIS系统管理模块,com.yhj.his.module.system.controller,SystemParameterController,55,0,0,0,10,0,10,0,10,0
HIS系统管理模块,com.yhj.his.module.system.controller,DataDictionaryController,60,0,0,0,11,0,11,0,11,0
HIS系统管理模块,com.yhj.his.module.system.dto,LoginDTO,138,17,30,0,1,3,21,5,6,5
HIS系统管理模块,com.yhj.his.module.system.dto,DataDictionaryDTO,475,0,94,0,12,0,74,0,27,0
HIS系统管理模块,com.yhj.his.module.system.dto,PasswordChangeDTO,131,24,30,0,0,4,19,7,4,7
HIS系统管理模块,com.yhj.his.module.system.dto,SystemParameterDTO,435,0,86,0,11,0,68,0,25,0
HIS系统管理模块,com.yhj.his.module.system.dto,UserAuthorizationDTO,99,17,22,0,0,3,15,5,4,5
HIS系统管理模块,com.yhj.his.module.system.dto,RoleAuthorizationDTO,99,17,22,0,0,3,15,5,4,5
HIS系统管理模块,com.yhj.his.module.system.dto,RoleDTO,367,69,86,0,0,11,48,20,5,20
HIS系统管理模块,com.yhj.his.module.system.dto,AuditLogQueryDTO,405,0,78,0,12,0,62,0,23,0
HIS系统管理模块,com.yhj.his.module.system.dto,DepartmentDTO,518,77,118,0,0,15,69,23,10,23
HIS系统管理模块,com.yhj.his.module.system.dto,OperationLogQueryDTO,405,0,78,0,12,0,62,0,23,0
HIS系统管理模块,com.yhj.his.module.system.dto,PermissionDTO,366,69,86,0,0,11,48,20,5,20
HIS系统管理模块,com.yhj.his.module.system.dto,UserDTO,618,98,142,0,0,18,81,29,10,29
HIS系统管理模块,com.yhj.his.module.system.service.impl,AuditLogServiceImpl,245,0,14,0,59,0,16,0,9,0
HIS系统管理模块,com.yhj.his.module.system.service.impl,RoleServiceImpl,5,596,11,39,0,126,11,33,0,19
HIS系统管理模块,com.yhj.his.module.system.service.impl,OperationLogServiceImpl,214,0,8,0,55,0,11,0,7,0
HIS系统管理模块,com.yhj.his.module.system.service.impl,UserServiceImpl,40,1251,21,63,1,279,25,48,4,27
